Recommended: S&P Capital IQ - Standard,Period Ended,Financial Filing Date,Spot Exchange Rate,Average Exchange Rate, ,($000),Revenue,        Total Revenue,Cost Of Goods Sold,        Gross Profit, ,Selling General & Admin Exp.,Provision for Bad Debts,R & D Exp.,Depreciation & Amort.,Amort. of Goodwill and Intangibles,Other Operating Expense,"        Other Operating Exp., Total",        Operating Income, ,Interest Expense,Interest and Invest. Income,        Net Interest Exp.,Currency Exchange Gains,Other Non-Operating Inc.,        EBT Excl Unusual Items,Impairment of Goodwill,Gain (Loss) On Sale Of Invest.,Gain (Loss) On Sale Of Assets,Asset Writedown,Other Unusual Items,        EBT Incl. Unusual Items, ,Income Tax Expense,        Earnings from Cont. Ops.,Earnings of Discontinued Ops.,        Net Income to Company,Minority Int. in Earnings,        Net Income,        NI to Common Incl Extra Items,        NI to Common Excl. Extra Items,Per Share Items ($),Basic EPS,Basic EPS Excl. Extra Items,Weighted Avg. Basic Shares Out. (actual),Diluted EPS Incl. Extra Items,Diluted EPS Excl. Extra Items,Weighted Avg. Diluted Shares Out. (actual),Normalized Basic EPS,Normalized Diluted EPS,Dividends per Share,Payout Ratio (%),Shares per Depositary Receipt (actual),Supplemental Items ($000),EBITDA,EBITA,EBIT,Effective Tax Rate (%),Current Domestic Taxes,Total Current Taxes,Deferred Domestic Taxes,Total Deferred Taxes,Normalized Net Income,Supplemental Operating Expense Items ($000),Marketing Expense,Selling and Marketing Expense,General and Administrative Expense,R&D Expense,"Stock-Based Comp., Unallocated","        Stock-Based Comp., Total",CIQ Restatement Type Code,CIQ Calculation Type Code,Stock Based Compensation ($000),"Stock Options Comp. Exp., Before Tax","Stock Based Comp. Exp., Before Tax"
1998 FQ1,3/31/98,7/12/99,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"180,898,705",NA,NA,"180,898,705",NA,NA,NA,NA,1,,NA,NA,NA,33.78,NA,NA,NA,NA,NA,,,,,NA,,,RS,RSQ,,,
1998 FQ2,6/30/98,7/12/99,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"182,178,217",NA,NA,"182,178,217",NA,NA,NA,NA,1,,NA,NA,NA,37.50,NA,NA,NA,NA,NA,,,,,NA,,,O,REP,,,
1998 FQ3,9/30/98,10/30/99,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"181,132,075",NA,NA,"181,132,075",NA,NA,NA,NA,1,,NA,NA,NA,28.93,NA,NA,NA,NA,NA,,,,,NA,,,O,REP,,,
1998 FQ4,12/31/98,2/21/00,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"181,555,104",NA,NA,"181,555,104",NA,NA,NA,NA,1,,NA,NA,NA,2.19,NA,NA,NA,NA,NA,,,,,NA,,,O,Q4,,,
1999 FQ1,3/31/99,4/10/00,1.079500,1.121017,,,"1,558,214","1,558,214","893,451","664,763",,"511,184",,,"14,573","11,210","(8,968)","527,999","136,764",,"(24,662)",NA,"(24,662)",NA,"1,121","113,223",,NA,,,NA,"113,223",,"42,599","70,624",,"70,624","(2,242)","68,382","68,382","68,382",,0.37,0.37,"183,458,646",0.37,0.37,"183,458,646",0.37,0.37,NA,NA,1,,"168,863","136,764","136,764",37.62,NA,NA,NA,NA,"68,522",,,,,NA,,,NC,REP,,,
1999 FQ2,6/30/99,7/30/00,1.031270,1.056422,,,"1,261,368","1,261,368","678,223","583,145",,"483,841",,,"16,903","10,564","(8,451)","502,857","80,288",,"(19,016)",NA,"(19,016)",NA,"2,113","63,385",,NA,,,"3,169","66,555",,"28,523","38,031",,"38,031","(4,226)","33,806","33,806","33,806",,0.19,0.19,"177,777,777",0.19,0.19,"177,777,777",0.20,0.20,NA,NA,1,,"110,239","80,288","80,288",42.86,NA,NA,NA,NA,"35,390",,,,,NA,,,NC,REP,,,
1999 FQ3,9/30/99,10/30/00,1.064980,1.049045,,,"1,652,246","1,652,246","938,895","713,351",,"442,697",,,"15,736","10,490","(7,343)","461,580","251,771",,"(25,177)",NA,"(25,177)",NA,"1,049","227,643",,NA,,,"1,049","228,692",,"82,875","145,817",,"145,817","(6,294)","139,523","139,523","139,523",,0.77,0.77,"180,952,380",0.77,0.77,"180,952,380",0.75,0.75,NA,NA,1,,"281,475","251,771","251,771",36.24,NA,NA,NA,NA,"135,982",,,,,NA,,,NC,REP,,,
1999 FQ4,12/31/99,2/18/01,1.002300,1.036833,,,"1,238,963","1,238,963","693,520","545,443",,"488,613",,,"21,010","10,381","(12,120)","507,885","37,558",,"(22,741)","8,010","(14,731)","(4,735)","1,037","19,129",,NA,,,"(1,285)","17,844",,"9,294","8,550",,"8,550","(6,764)","1,785","1,785","1,785",,0.01,0.01,"182,100,228",0.01,0.01,"182,100,228",0.03,0.03,0.24,NA,1,,"68,457","37,558","37,558",52.09,"164,892","164,892","(6,294)","(6,294)","5,191",,,,,"79,836",,,NC,Q4,,,
2000 FQ1,3/31/00,4/10/01,0.956870,0.986395,,,"1,496,361","1,496,361","868,028","628,334",,"499,116",,,"16,769","9,864","(8,878)","516,871","111,463",,"(12,823)",NA,"(12,823)",NA,986,"99,626",,NA,,,NA,"99,626",,"41,429","58,197",,"58,197","(5,918)","52,279","52,279","52,279",,0.29,0.29,"182,758,620",0.29,0.29,"182,758,620",0.31,0.31,NA,NA,1,,"140,858","111,463","111,463",41.58,NA,NA,NA,NA,"56,348",,,,,NA,,,NC,REP,,,
2000 FQ2,6/30/00,7/10/01,0.958580,0.933363,,,"1,164,837","1,164,837","639,353","525,483",,"456,414",,,"17,734","9,334","(10,267)","473,215","52,268",,"(19,601)",NA,"(19,601)",NA,NA,"32,668",,NA,,,NA,"32,668",,"12,134","20,534",,"20,534","(1,867)","18,667","18,667","18,667",,0.10,0.10,"181,818,181",0.10,0.10,"181,818,181",0.10,0.10,NA,NA,1,,"80,083","52,268","52,268",37.14,NA,NA,NA,NA,"18,551",,,,,NA,,,NC,REP,,,
